the_geom,trip_start_timestamp,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
000000000200000002C055EAB974A2B69B4044ECD5873E12D9C055EC85CC1EF4594044E2CBEEA12005,2021-01-31T23:15,41.8502663663,-87.667569312,POINT (41.8502663663 -87.667569312),41.7718485152,-87.695666342,POINT (41.7718485152 -87.695666342)
000000000200000002C055E813D55744664044F31787F8C8AEC055E9CB1BE743194044FAA4D1A7D135,2021-01-31T23:15,41.8991556134,-87.6262105324,POINT (41.8991556134 -87.6262105324),41.9581548757,-87.6530217894,POINT (41.9581548757 -87.6530217894)
000000000200000002C055EEBC20CB9D3A4044F075C7A82BCBC055E34A997E0D444044DEE10AAEA714,2021-01-31T23:15,41.8785943576,-87.7302324284,POINT (41.8785943576 -87.7302324284),41.7412427285,-87.551428197,POINT (41.7412427285 -87.551428197)
000000000200000002C055E47BD5AD1CE34044D866AC6BE021C055E61342261F8C4044E3B23CA94CC2,2021-01-31T23:15,41.6906333472,-87.5700582686,POINT (41.6906333472 -87.5700582686),41.7788768603,-87.5949254391,POINT (41.7788768603 -87.5949254391)
000000000200000002C055E4A875C727524044E17B628852A3C055E91EADF2A9F24044E37B2AB80A54,2021-01-31T23:15,41.7615779081,-87.5727819867,POINT (41.7615779081 -87.5727819867),41.7771962546,-87.6424975271,POINT (41.7771962546 -87.6424975271)
000000000200000002C055E91EADF2A9F24044E37B2AB80A54C055E76EBDC463754044E1B21233CFB4,2021-01-31T23:15,41.7771962546,-87.6424975271,POINT (41.7771962546 -87.6424975271),41.7632467988,-87.6161341112,POINT (41.7632467988 -87.6161341112)
000000000200000002C055E78B034F45014044E80EB5F99748C055EAA98361C65A4044E351A2C4DA73,2021-01-31T23:15,41.8129489392,-87.6178596758,POINT (41.8129489392 -87.6178596758),41.7759288274,-87.6665962653,POINT (41.7759288274 -87.6665962653)
000000000200000002C055EC00411351B44044FCD266C6BDD2C055EBC3F3A279924044F9513C15B882,2021-01-31T23:15,41.9751709433,-87.6875155152,POINT (41.9751709433 -87.6875155152),41.9477915865,-87.6838349425,POINT (41.9477915865 -87.6838349425)
000000000200000002C055E78C300F63E24044E56BF6246954C055E9877F324D204044DBD6CFD29421,2021-01-31T23:15,41.7923572233,-87.6179313803,POINT (41.7923572233 -87.6179313803),41.7174930361,-87.6488950721,POINT (41.7174930361 -87.6488950721)
000000000200000002C055E782CB2787E44044EDFF2BE4E03FC055EA0C5ED011724044F085446AAE99,2021-01-31T23:15,41.859349715,-87.6173580061,POINT (41.859349715 -87.6173580061),41.8790669938,-87.657005027,POINT (41.8790669938 -87.657005027)
000000000200000002C055E8881E6E7AE94044F3262977142BC055EA00EAD2B9794044DF421D3E6FCB,2021-01-31T23:15,41.899602111,-87.6333080367,POINT (41.899602111 -87.6333080367),41.7442051463,-87.6563059862,POINT (41.7442051463 -87.6563059862)
000000000200000002C055EAB974A2B69B4044ECD5873E12D9C055E985BDE6DCC24044EB06F7E07DAD,2021-01-31T23:15,41.8502663663,-87.667569312,POINT (41.8502663663 -87.667569312),41.8361501547,-87.6487879519,POINT (41.8361501547 -87.6487879519)
000000000200000002C055EC7B16153B07404500337ABACB06C055EE2E06101B734044FBE9AF5BA2BE,2021-01-31T23:15,42.001571027,-87.6950125892,POINT (42.001571027 -87.6950125892),41.968069,-87.7215590627,POINT (41.968069 -87.7215590627)
000000000200000002C055E8D27084EFB64044F254E9E62700C055E7D1AE701C464044EF700FF80EA8,2021-01-31T23:15,41.8932163595,-87.6378442095,POINT (41.8932163595 -87.6378442095),41.8706073724,-87.6221729369,POINT (41.8706073724 -87.6221729369)
000000000200000002C055E812C4F377774044F38E8F09D4B2C055E8D27084EFB64044F254E9E62700,2021-01-31T23:15,41.9027880476,-87.6261455896,POINT (41.9027880476 -87.6261455896),41.8932163595,-87.6378442095,POINT (41.8932163595 -87.6378442095)
000000000200000002C055EB384E3C585E4044F3F8A8B11742C055EA3B378C2FE54044F23EA5F1A46F,2021-01-31T23:15,41.906025969,-87.6753116216,POINT (41.906025969 -87.6753116216),41.8925368719,-87.6598643178,POINT (41.8925368719 -87.6598643178)
000000000200000002C055E61342261F8C4044E3B23CA94CC2C055E627DE2F70924044E78A91997C05,2021-01-31T23:00,41.7788768603,-87.5949254391,POINT (41.7788768603 -87.5949254391),41.8089162826,-87.5961833442,POINT (41.8089162826 -87.5961833442)
000000000200000002C055EA00EAD2B9794044DF421D3E6FCBC055ECBA22A3370A4044E89F74B5E49D,2021-01-31T23:00,41.7442051463,-87.6563059862,POINT (41.7442051463 -87.6563059862),41.8173662079,-87.6988607973,POINT (41.8173662079 -87.6988607973)
000000000200000002C055EB384E3C585E4044F3F8A8B11742C055E9CB1BE743194044FAA4D1A7D135,2021-01-31T23:00,41.906025969,-87.6753116216,POINT (41.906025969 -87.6753116216),41.9581548757,-87.6530217894,POINT (41.9581548757 -87.6530217894)
000000000200000002C055E9C31FFEDBBA4044F2429EF1535CC055E9263C19EDAF4044EF176D29A413,2021-01-31T23:00,41.8926581076,-87.6525344838,POINT (41.8926581076 -87.6525344838),41.8679024175,-87.6429586652,POINT (41.8679024175 -87.6429586652)
000000000200000002C055E923C61E3A864044F15182D9AD94C055EA94E46831DE4044F40D21DF4A69,2021-01-31T23:00,41.8853000224,-87.6428084655,POINT (41.8853000224 -87.6428084655),41.9066507664,-87.6653376596,POINT (41.9066507664 -87.6653376596)
000000000200000002C055EA101BD6A3A54044F150E5F6CB6BC055EC733FEAE4804044F438348761AD,2021-01-31T23:00,41.8852813201,-87.6572331997,POINT (41.8852813201 -87.6572331997),41.9079652463,-87.6945342821,POINT (41.9079652463 -87.6945342821)
000000000200000002C055EC926514D7A84044E5D0ABC130DAC055EE596D5312ED4044E5806E56482C,2021-01-31T23:00,41.795430631,-87.6964352325,POINT (41.795430631 -87.6964352325),41.7929819032,-87.7242081939,POINT (41.7929819032 -87.7242081939)
000000000200000002C055EAB974A2B69B4044ECD5873E12D9C055EE596D5312ED4044E5806E56482C,2021-01-31T23:00,41.8502663663,-87.667569312,POINT (41.8502663663 -87.667569312),41.7929819032,-87.7242081939,POINT (41.7929819032 -87.7242081939)
000000000200000002C055F0FDFA757E3C4044F6B07CAB5D78C055EE596D5312ED4044E5806E56482C,2021-01-31T23:00,41.9272609555,-87.7655016086,POINT (41.9272609555 -87.7655016086),41.7929819032,-87.7242081939,POINT (41.7929819032 -87.7242081939)
000000000200000002C055E87EEB20E8054044F0C46D43CE82C055F01D8D3D94004044F2199E624F57,2021-01-31T23:00,41.8809944707,-87.6327464887,POINT (41.8809944707 -87.6327464887),41.8914068203,-87.7518036939,POINT (41.8914068203 -87.7518036939)
000000000200000002C055E870757DDEE84044F22E6FCD75F3C055E782CB2787E44044EDFF2BE4E03F,2021-01-31T23:00,41.8920421365,-87.6318639497,POINT (41.8920421365 -87.6318639497),41.859349715,-87.6173580061,POINT (41.859349715 -87.6173580061)
000000000200000002C055E80325E754BF4044F07EAADEA50CC055EB496AA184564044F35AC0334B01,2021-01-31T23:00,41.8788655841,-87.6251921424,POINT (41.8788655841 -87.6251921424),41.9012069941,-87.6763559892,POINT (41.9012069941 -87.6763559892)
000000000200000002C055E8D27084EFB64044F254E9E62700C055E8B04B16C5384044F428B21102DE,2021-01-31T23:00,41.8932163595,-87.6378442095,POINT (41.8932163595 -87.6378442095),41.9074919303,-87.6357600901,POINT (41.9074919303 -87.6357600901)
000000000200000002C055EE4D0B415A464044FA0EFAA51B5AC055EE2E06101B734044FBE9AF5BA2BE,2021-01-31T23:00,41.9535821253,-87.7234523905,POINT (41.9535821253 -87.7234523905),41.968069,-87.7215590627,POINT (41.968069 -87.7215590627)
000000000200000002C055F9CB66DCDA964044FD5231506611C055F0A9907907C94044F20F164F8206,2021-01-31T23:00,41.9790708201,-87.9030396611,POINT (41.9790708201 -87.9030396611),41.8910854233,-87.7603493864,POINT (41.8910854233 -87.7603493864)
000000000200000002C055EC62F08C79DE4044ED4A747821FBC055EC62F08C79DE4044ED4A747821FB,2021-01-31T23:00,41.853834685,-87.6935387966,POINT (41.853834685 -87.6935387966),41.853834685,-87.6935387966,POINT (41.853834685 -87.6935387966)
000000000200000002C055EAF0C39CD95C4044F445C0928385C055E87EEB20E8054044F0C46D43CE82,2021-01-31T23:00,41.9083786693,-87.6709450752,POINT (41.9083786693 -87.6709450752),41.8809944707,-87.6327464887,POINT (41.8809944707 -87.6327464887)
