trip_id,the_geom,trip_start_timestamp,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
cbf6f6e02cf647bfe8e40ca2e590b5a04cebb8a4,0020000002000010E600000002C055E9877F324D204044DBD6CFD29421C055E8AFF5E387D44044D63FBB0A2E61,2021-01-31T22:00,41.7174930361,-87.6488950721,POINT (41.7174930361 -87.6488950721),41.6738199043,-87.6357397768,POINT (41.6738199043 -87.6357397768)
ea059ec0678f8f2476ab023034163f7b4d0d5dc2,0020000002000010E600000002C055E92071C2590E4044F6A1BFB257E3C055E9E00511D4ED4044F9202DE99B85,2021-01-31T22:00,41.9268111821,-87.6426052473,POINT (41.9268111821 -87.6426052473),41.9462945357,-87.6542980837,POINT (41.9462945357 -87.6542980837)
95c0a0eae5013763371f5324e19ef7ee39d92e64,0020000002000010E600000008C055E9263C19EDAF4044EF176D29A413C055E9DB404BCC3C4044F516708F5327C055E9F9EB0437A14044FB9FBA049E1FC055E9F9EB0437A14044FB9FBA049E1FC055EC00411351B44044FCD266C6BDD2C055EBE8AF01D2EC4044FF42C5C18489C055EC7B16153B07404500337ABACB06C055EABB54095D1A404500CDBEE82F3F,2021-01-31T22:00,41.8679024175,-87.6429586652,POINT (41.8679024175 -87.6429586652),42.0062788614,-87.6676836101,POINT (42.0062788614 -87.6676836101)
44a9db973fbd0f23e15abe04584a5324eb867882,0020000002000010E600000008C055F00F4EB19AC14044E49B9974C1DAC055EAC9ECDAD69D4044ED8F41DDAC29C055E87EEB20E8054044F0C46D43CE82C055E7BE590F86734044F14742A31477C055E83F79649E4F4044F22F6FA3D8B6C055E8D27084EFB64044F254E9E62700C055E8D27084EFB64044F254E9E62700C055E8D27084EFB64044F254E9E62700,2021-01-31T22:00,41.785998518,-87.7509342894,POINT (41.785998518 -87.7509342894),41.8932163595,-87.6378442095,POINT (41.8932163595 -87.6378442095)
2502bbf6cf4c3b5cf5a17da753fd7c669b78f514,0020000002000010E600000002C055EB384E3C585E4044F3F8A8B11742C055EBD862A27D114044F5EC46F0F954,2021-01-31T22:00,41.906025969,-87.6753116216,POINT (41.906025969 -87.6753116216),41.9212731053,-87.6850821101,POINT (41.9212731053 -87.6850821101)
618e6a7a2ba432bb7af10cae98c2c99daf65add7,0020000002000010E600000008C055F06311BE9B104044F1FF788BB8F9C055F06311BE9B104044F1FF788BB8F9C055ECBEF60D77884044F61D051F8AC6C055EBC3F3A279924044F9513C15B882C055EC00411351B44044FCD266C6BDD2C055EA756A1534AA4044FE4C927F92EBC055EA756A1534AA4044FE4C927F92EBC055EA756A1534AA4044FE4C927F92EB,2021-01-31T22:00,41.8906088526,-87.7560467111,POINT (41.8906088526 -87.7560467111),41.9867117999,-87.6634164054,POINT (41.9867117999 -87.6634164054)
1bdd5db1b6371b34f34708d932e134faaf04016b,0020000002000010E600000002C055EE596D5312ED4044E5806E56482CC055F141612C116C4044E573AA9D4623,2021-01-31T22:00,41.7929819032,-87.7242081939,POINT (41.7929819032 -87.7242081939),41.7925923603,-87.7696154528,POINT (41.7925923603 -87.7696154528)
4be4a1f362c9a96896abacee74f88a1ba1780146,0020000002000010E600000002C055E7CE622FFCC64044F04ED806A815C055E813E7AFD05D4044F23DB1E9320D,2021-01-31T22:00,41.8774061234,-87.6219716519,POINT (41.8774061234 -87.6219716519),41.8925077809,-87.6262149064,POINT (41.8925077809 -87.6262149064)
55f40fb1a85a5045edecc00e01d9e67e79f2cf96,0020000002000010E600000008C055F12F4820C4E04044E3C95F3F98ACC055EE7CBC990AEF4044E7CAE221C1C8C055ECBA22A3370A4044E89F74B5E49DC055ECBA22A3370A4044E89F74B5E49DC055ECBA22A3370A4044E89F74B5E49DC055ECBA22A3370A4044E89F74B5E49DC055EAB974A2B69B4044ECD5873E12D9C055E7B38FFEC5804044EDB8335F7553,2021-01-31T22:00,41.7795828877,-87.768510849,POINT (41.7795828877 -87.768510849),41.8571838585,-87.6203346241,POINT (41.8571838585 -87.6203346241)
b41d4580af9d3bad26ec9406b0e04991942f2cce,0020000002000010E600000002C055E9B9E20971844044F980122614B4C055E86E0EACEDBF4044F512257F3D0D,2021-01-31T22:00,41.9492209135,-87.6519703953,POINT (41.9492209135 -87.6519703953),41.9146162864,-87.6317173661,POINT (41.9146162864 -87.6317173661)
